Address,Twitter,User Reward,Supply Percent
tz1arU7FDwSA1nHKXHepyzPyaqJMDMEtxnfU,@malaventuraNFT,7,0.0768%
tz1aU7SmyjBbo54b3udrCxmHL2WdhX3nqid9,@stuukstly,7,0.0768%
tz1aXcPJTeNdgyf8JiTaRDgbCaNd1bKxDfm4,@Thisisarobot2,7,0.0768%
tz1axqr9q3NY5TcHdMwKfeT17zb3smQLMJNP,@plumrich1,7,0.0768%
tz1biyDVy4Zq4vZyc91eJAKi7wYbNFPJTzHD,,7,0.0768%
tz1bjGah9KhGHuVGxuabQM2okXyafnPMxvhH,@carreras_anna,7,0.0768%
tz1bodPGoG36hh6NnjJxa4TbW5Xvuh9QBP5a,,7,0.0768%
tz1btEppXT42utFyuMDaxEGgd2B2Y68P2QBA,@wonspacemagic,7,0.0768%
tz1bVKRZHbEEkogfQzAWh93iLJUNG7A1GpYu,,7,0.0768%
tz1bxU2TvKjA32ucKyQAi47cYD7GX2Vgh8C6,,7,0.0768%
tz1c3hFmjFSwunjLHECnYyjr42KRt5YiHrGX,@schwittlick_,7,0.0768%
tz1cALi4cQRKtSMCU92nkmtQtZPZGppeHke1,@greencrosslive,7,0.0768%
tz1cfSdS7h65w4FYSLxXVwdBfbjrwEnFwoZL,@alistairkeddie,7,0.0768%
tz1cGgQteiYrWEmEefKVScvYmenFrS9HauFV,@mxjxn,7,0.0768%
tz1cMugfiPv184Dw6PUhai78dTnzvPx9jnDy,@Ucodia,7,0.0768%
tz1coEYWsh5bwhhCsK2Dc1SXTNQs1hWs1QtL,@hermitkrrrab,7,0.0768%
tz1dEF5ZMTnBSkz2ZQPvpJjwyfeUUyGjeMtf,@andreasgysin,7,0.0768%
